"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","hidden_layers","learning_rate","method","metric.goal","metric.name","optimizer","parameters.activation_functions","parameters.hidden_layerss","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.learning_rates","parameters.optimizers","Epoch","Train Accuracy","Train Loss","Validation Accuracy","Validation F1 Score","Validation Loss","Validation Precision","Validation Recall"
"silver-sweep-2","finished","-","","","2024-10-12T15:55:19.000Z","4","ho97i4nb","relu","[18,9]","0.01","","","","batch","","","","","","","","500","0.4234135667396061","1.3491941567199055","0.4192139737991266","","1.3155297188969548","",""
"ruby-sweep-1","finished","-","","","2024-10-12T15:55:14.000Z","3","ho97i4nb","linear","[18,9]","0.1","","","","batch","","","","","","","","500","0.4234135667396061","1.1969374556139587","0.4192139737991266","","1.1299448634325853","",""
"scarlet-sweep-10","finished","-","","","2024-10-12T14:48:49.000Z","6","cego4e5o","linear","[64,32]","0.001","","","","mini_batch","","","","","","","","500","0.4234135667396061","1.2300674802329712","0.4192139737991266","","1.174845454315053","",""
"glad-sweep-9","finished","-","","","2024-10-12T14:48:12.000Z","34","cego4e5o","linear","[18,9]","0.1","","","","sgd","","","","","","","","500","0.49452954048140046","1.523705861553903","0.5589519650655022","","0.9931922621665464","",""
"denim-sweep-8","finished","-","","","2024-10-12T14:47:29.000Z","39","cego4e5o","linear","[64,32]","0.01","","","","sgd","","","","","","","","500","0.5940919037199125","1.4970055930856074","0.6375545851528385","","0.8819719000208169","",""
"pretty-sweep-7","finished","-","","","2024-10-12T14:47:18.000Z","6","cego4e5o","linear","[64,32]","0.01","","","","mini_batch","","","","","","","","500","0.6072210065645515","0.944533981683246","0.6419213973799127","","0.913513000005472","",""
"efficient-sweep-6","finished","-","","","2024-10-12T14:47:08.000Z","7","cego4e5o","linear","[64,32]","0.01","","","","mini_batch","","","","","","","","500","0.6050328227571116","0.938027275960298","0.6375545851528385","","0.9122966247637868","",""
"honest-sweep-5","finished","-","","","2024-10-12T14:46:57.000Z","9","cego4e5o","relu","[64,32]","0.001","","","","batch","","","","","","","","500","0.4234135667396061","1.705414526466792","0.4192139737991266","","1.7004095424155194","",""
"atomic-sweep-4","finished","-","","","2024-10-12T14:45:59.000Z","51","cego4e5o","linear","[64,32]","0.1","","","","batch","","","","","","","","500","0.6170678336980306","0.9831673988779828","0.611353711790393","","0.9161816035634172","",""
"fallen-sweep-3","finished","-","","","2024-10-12T14:45:21.000Z","31","cego4e5o","sigmoid","[9]","0.01","","","","sgd","","","","","","","","500","0.6258205689277899","1.3401784997325634","0.6157205240174672","","0.8786446347239713","",""
"light-sweep-2","finished","-","","","2024-10-12T14:45:10.000Z","6","cego4e5o","linear","[64,32]","0.01","","","","mini_batch","","","","","","","","500","0.6050328227571116","0.9461026317679088","0.6462882096069869","","0.9130652147074024","",""
"different-sweep-1","finished","-","","","2024-10-12T14:44:38.000Z","26","cego4e5o","linear","[9]","0.001","","","","sgd","","","","","","","","500","0.6137855579868708","1.415550757257419","0.6375545851528385","","0.8883884596509015","",""
"lucky-sweep-10","finished","-","","","2024-10-12T14:38:49.000Z","73","axqtn9ot","linear","[18,9]","0.09473245493551433","","","","sgd","","","","","","","","500","0.5153172866520788","1.5274105805847344","0.5807860262008734","","0.98451119572607","",""
"faithful-sweep-9","finished","-","","","2024-10-12T14:38:33.000Z","14","axqtn9ot","linear","[64,32]","0.09964876307318632","","","","mini_batch","","","","","","","","500","0.5995623632385121","0.9164712595103844","0.6157205240174672","","0.8859406438064471","",""
"wobbly-sweep-8","finished","-","","","2024-10-12T14:38:17.000Z","9","axqtn9ot","linear","[64,32]","0.09098406101375452","","","","mini_batch","","","","","","","","500","0.5995623632385121","0.9158585576825112","0.6157205240174672","","0.8865487387246022","",""
"glad-sweep-7","finished","-","","","2024-10-12T14:38:00.000Z","11","axqtn9ot","linear","[64,32]","0.0931832686564934","","","","mini_batch","","","","","","","","500","0.6039387308533917","0.9160894013514396","0.6157205240174672","","0.8864522962909512","",""
"stoic-sweep-6","finished","-","","","2024-10-12T14:37:50.000Z","6","axqtn9ot","linear","[18,9]","0.07863069942934485","","","","mini_batch","","","","","","","","500","0.6072210065645515","0.9179675337406432","0.6244541484716157","","0.8868685616730335","",""
"frosty-sweep-5","finished","-","","","2024-10-12T14:37:39.000Z","6","axqtn9ot","linear","[18,9]","0.09004206678197135","","","","mini_batch","","","","","","","","500","0.6083150984682714","0.9172850909264388","0.6200873362445415","","0.8857283963431377","",""
"daily-sweep-4","finished","-","","","2024-10-12T14:36:46.000Z","48","axqtn9ot","linear","[18,9]","0.0998400445588346","","","","batch","","","","","","","","500","0.4234135667396061","1.197281833850108","0.4192139737991266","","1.1299999991705143","",""
"fancy-sweep-3","finished","-","","","2024-10-12T14:36:30.000Z","11","axqtn9ot","sigmoid","[64,32]","0.009504887942830182","","","","mini_batch","","","","","","","","500","0.4234135667396061","1.197732277091801","0.4192139737991266","","1.1283447886734257","",""
"lucky-sweep-2","finished","-","","","2024-10-12T14:36:19.000Z","6","axqtn9ot","linear","[18,9]","0.09229266805269393","","","","mini_batch","","","","","","","","500","0.6028446389496718","0.9186922763080554","0.6200873362445415","","0.8852844365587209","",""
"frosty-sweep-1","finished","-","","","2024-10-12T14:36:03.000Z","11","axqtn9ot","sigmoid","[64,32]","0.029925254834279477","","","","mini_batch","","","","","","","","500","0.4234135667396061","1.1952920115289585","0.4192139737991266","","1.1234985960902677","",""
"dry-sweep-10","finished","-","","","2024-10-12T12:59:24.000Z","9","n90mqbdt","linear","[9]","0.0359778595946856","","","","mini_batch","","","","","","","","500","0.6181619256017505","0.9997894214831023","0.6200873362445415","0.33239598278335725","0.9483806315242892","0.3455345911949686","0.3311188811188811"
"vocal-sweep-9","finished","-","","","2024-10-12T12:59:13.000Z","5","n90mqbdt","relu","[18,9]","0.048925747429192305","","","","mini_batch","","","","","","","","500","0.4234135667396061","1.2110921274251507","0.4192139737991266","0.11815384615384614","1.150852565657572","0.08384279475982533","0.2"
"lilac-sweep-8","finished","-","","","2024-10-12T12:58:57.000Z","11","n90mqbdt","sigmoid","[64,32]","0.02225493296855586","","","","mini_batch","","","","","","","","500","0.4234135667396061","1.2412099197231723","0.4192139737991266","0.11815384615384614","1.1835278291803126","0.08384279475982533","0.2"
"amber-sweep-7","finished","-","","","2024-10-12T12:58:46.000Z","5","n90mqbdt","tanh","[9]","0.055652562992072586","","","","batch","","","","","","","","500","0.6094091903719913","0.9838002808256976","0.611353711790393","0.3293274791175841","0.913687694047324","0.34703742203742205","0.32707847707847704"
"major-sweep-6","finished","-","","","2024-10-12T12:58:30.000Z","9","n90mqbdt","tanh","[9]","0.056524392342048334","","","","batch","","","","","","","","500","0.6072210065645515","0.9876246296273212","0.5895196506550219","0.2696657692203095","0.917149170806405","0.26762080262080257","0.28294483294483297"
"smart-sweep-5","finished","-","","","2024-10-12T12:58:14.000Z","10","n90mqbdt","tanh","[64,32]","0.05852291147522991","","","","mini_batch","","","","","","","","500","0.4234135667396061","1.2011309117927045","0.4192139737991266","0.11815384615384614","1.138312112456879","0.08384279475982533","0.2"
"proud-sweep-4","finished","-","","","2024-10-12T12:57:21.000Z","49","n90mqbdt","tanh","[18,9]","0.06407184359675364","","","","mini_batch","","","","","","","","500","0.4234135667396061","1.2048301391230316","0.4192139737991266","0.11815384615384614","1.1424210773239143","0.08384279475982533","0.2"
"cosmic-sweep-3","finished","-","","","2024-10-12T12:57:10.000Z","5","n90mqbdt","tanh","[18,9]","0.049485349182974626","","","","sgd","","","","","","","","500","0.4234135667396061","1.2119818188192448","0.4192139737991266","0.11815384615384614","1.1524316026256656","0.08384279475982533","0.2"
"wobbly-sweep-2","finished","-","","","2024-10-12T12:56:59.000Z","9","n90mqbdt","tanh","[9]","0.0648732766623545","","","","mini_batch","","","","","","","","500","0.6105032822757112","0.9795692123158156","0.6200873362445415","0.3334146341463415","0.9082043759919056","0.35097801627142117","0.3311188811188811"
"stellar-sweep-1","finished","-","","","2024-10-12T12:56:48.000Z","5","n90mqbdt","tanh","[9]","0.022989402290724617","","","","mini_batch","","","","","","","","500","0.562363238512035","1.1103963164220791","0.5633187772925764","0.2413336908912131","1.0618265214517892","0.2235120435120435","0.2654671717171717"
